lineage,hours,colour,n_cells,gene,module,detection,band
CD8T,72,Red,747,Ccl3,regulatory,0.29852744310575635,MEASURABLE
CD8T,72,Red,747,Ccl4,regulatory,0.607764390896921,MEASURABLE
CD8T,72,Red,747,Ccl5,regulatory,0.4779116465863454,MEASURABLE
CD8T,72,Red,747,Xcl1,regulatory,0.06157965194109773,MEASURABLE
CD8T,72,Red,747,Xcl2,regulatory,,ABSENT
CD8T,72,Red,747,Flt3l,regulatory,0.1927710843373494,MEASURABLE
CD8T,72,Red,747,Prf1,killing,0.7791164658634538,MEASURABLE
CD8T,72,Red,747,Gzma,killing,0.13520749665327977,MEASURABLE
CD8T,72,Red,747,Gzmb,killing,0.8554216867469879,CEILING
CD8T,72,Red,747,Gzmk,killing,0.12182061579651941,MEASURABLE
CD8T,72,Red,747,Nkg7,killing,0.9692101740294511,CEILING
CD4T,24,Green,55,Ccl3,regulatory,0.05454545454545454,MEASURABLE
CD4T,24,Green,55,Ccl4,regulatory,0.16363636363636364,MEASURABLE
CD4T,24,Green,55,Ccl5,regulatory,0.7454545454545455,MEASURABLE
CD4T,24,Green,55,Xcl1,regulatory,0.2727272727272727,MEASURABLE
CD4T,24,Green,55,Xcl2,regulatory,,ABSENT
CD4T,24,Green,55,Flt3l,regulatory,0.14545454545454545,MEASURABLE
CD4T,24,Green,55,Prf1,killing,0.18181818181818182,MEASURABLE
CD4T,24,Green,55,Gzma,killing,0.21818181818181817,MEASURABLE
CD4T,24,Green,55,Gzmb,killing,0.45454545454545453,MEASURABLE
CD4T,24,Green,55,Gzmk,killing,0.10909090909090909,MEASURABLE
CD4T,24,Green,55,Nkg7,killing,0.8181818181818182,MEASURABLE
CD4T,24,Red,108,Ccl3,regulatory,0.027777777777777776,FLOOR
CD4T,24,Red,108,Ccl4,regulatory,0.046296296296296294,FLOOR
CD4T,24,Red,108,Ccl5,regulatory,0.6574074074074074,MEASURABLE
CD4T,24,Red,108,Xcl1,regulatory,0.4166666666666667,MEASURABLE
CD4T,24,Red,108,Xcl2,regulatory,,ABSENT
CD4T,24,Red,108,Flt3l,regulatory,0.2037037037037037,MEASURABLE
CD4T,24,Red,108,Prf1,killing,0.2037037037037037,MEASURABLE
CD4T,24,Red,108,Gzma,killing,0.26851851851851855,MEASURABLE
CD4T,24,Red,108,Gzmb,killing,0.7129629629629629,MEASURABLE
CD4T,24,Red,108,Gzmk,killing,0.046296296296296294,FLOOR
CD4T,24,Red,108,Nkg7,killing,0.75,MEASURABLE
CD4T,72,Green,109,Ccl3,regulatory,0.027522935779816515,FLOOR
