lineage,hours,r1_genes,r1_status,r1_green,r1_red,r1_delta_pp,ceiling_excluded
NK,24,"Ccl3,Ccl4",OK,0.6082474226804123,0.21179039301310043,-39.645702966731186,Ccl5
NK,72,"Ccl3,Ccl4",OK,0.5329861111111112,0.16270783847980996,-37.02782726313012,Ccl5
CD8T,24,"Ccl3,Ccl4,Ccl5",OK,0.38557213930348255,0.42127659574468085,3.57044564411983,
CD8T,72,"Ccl3,Ccl4,Ccl5",OK,0.4814814814814814,0.46140116019634086,-2.0080321285140537,
