lineage,hours,r1_genes,r1_status,r1_green,r1_red,r2_green,r2_red,r2_status,k_genes,k_status,k_green,k_red,ratio_green,ratio_red,delta
NK,24,"Ccl3,Ccl4,Ccl5",OK,0.738831615120275,0.2678311499272198,0.4536082474226804,0.5327510917030568,band OK,"Gzma,Gzmb,Nkg7",OK,0.9725085910652922,0.9344978165938865,0.613953488372093,1.9891304347826089,1.375176946410516
NK,72,"Ccl3,Ccl4,Ccl5",OK,0.6458333333333334,0.21773555027711797,0.5069444444444444,0.5961995249406176,band OK,"Prf1,Gzma,Gzmb",OK,0.9212962962962964,0.8543151227236737,0.7849462365591398,2.7381818181818183,1.9532355816226785
CD8T,24,"Ccl3,Ccl4,Ccl5",OK,0.3855721393034826,0.4212765957446809,0.05223880597014925,0.06808510638297872,band OK,"Prf1,Gzma,Gzmk",OK,0.3407960199004975,0.3886524822695036,0.13548387096774192,0.1616161616161616,0.02613229064841968
CD8T,72,"Ccl3,Ccl4,Ccl5",OK,0.48148148148148145,0.46140116019634086,0.1522633744855967,0.06157965194109773,band OK,"Prf1,Gzma,Gzmk",OK,0.35802469135802467,0.3453815261044177,0.3162393162393163,0.13346228239845262,-0.18277703384086366
