batch,patient,condition,lineage,n_cells,mode
347,706,PBMC,Myeloid,373,hashed
347,706,PBMC,unassigned,358,hashed
347,706,Tumor,NK,130,hashed
347,706,Tumor,CD8T,386,hashed
347,706,Tumor,CD4T,682,hashed
347,706,Tumor,B,1119,hashed
347,706,Tumor,Myeloid,957,hashed
347,706,Tumor,unassigned,423,hashed
347,706,ambiguous,NK,87,hashed
347,706,ambiguous,CD8T,97,hashed
347,706,ambiguous,CD4T,151,hashed
347,706,ambiguous,B,232,hashed
347,706,ambiguous,Myeloid,323,hashed
347,706,ambiguous,unassigned,235,hashed
347,706,mouse,NK,17,hashed
347,706,mouse,CD8T,4,hashed
347,706,mouse,CD4T,0,hashed
347,706,mouse,B,66,hashed
347,706,mouse,Myeloid,44,hashed
347,706,mouse,unassigned,22,hashed
348,706,Normal,NK,202,hashed
348,706,Normal,CD8T,422,hashed
348,706,Normal,CD4T,572,hashed
348,706,Normal,B,323,hashed
348,706,Normal,Myeloid,1008,hashed
348,706,Normal,unassigned,712,hashed
348,706,PBMC,NK,125,hashed
348,706,PBMC,CD8T,335,hashed
348,706,PBMC,CD4T,584,hashed
348,706,PBMC,B,190,hashed
348,706,PBMC,Myeloid,404,hashed
348,706,PBMC,unassigned,404,hashed
348,706,Tumor,NK,165,hashed
348,706,Tumor,CD8T,407,hashed
348,706,Tumor,CD4T,693,hashed
348,706,Tumor,B,1181,hashed
348,706,Tumor,Myeloid,1061,hashed
348,706,Tumor,unassigned,447,hashed
348,706,ambiguous,NK,107,hashed
348,706,ambiguous,CD8T,108,hashed
348,706,ambiguous,CD4T,180,hashed
348,706,ambiguous,B,263,hashed
348,706,ambiguous,Myeloid,349,hashed
348,706,ambiguous,unassigned,230,hashed
348,706,mouse,NK,18,hashed
348,706,mouse,CD8T,6,hashed
348,706,mouse,CD4T,7,hashed
348,706,mouse,B,73,hashed
348,706,mouse,Myeloid,51,hashed
348,706,mouse,unassigned,17,hashed
668,800,Tumor,NK,133,single
668,800,Tumor,CD8T,338,single
668,800,Tumor,CD4T,1051,single
668,800,Tumor,B,1626,single
668,800,Tumor,Myeloid,713,single
668,800,Tumor,unassigned,833,single
