batch,patient,condition,lineage,n_cells,mode
32,532,Normal,CD8T,414,single
32,532,Normal,CD4T,354,single
32,532,Normal,B,303,single
32,532,Normal,Myeloid,1035,single
32,532,Normal,unassigned,290,single
33,532,Tumor,NK,280,single
33,532,Tumor,CD8T,440,single
33,532,Tumor,CD4T,426,single
33,532,Tumor,B,427,single
33,532,Tumor,Myeloid,513,single
33,532,Tumor,unassigned,215,single
36,558,Tumor,NK,244,single
36,558,Tumor,CD8T,551,single
36,558,Tumor,CD4T,667,single
36,558,Tumor,B,1075,single
36,558,Tumor,Myeloid,870,single
36,558,Tumor,unassigned,763,single
37,564,Normal,NK,296,single
37,564,Normal,CD8T,798,single
37,564,Normal,CD4T,983,single
37,564,Normal,B,1857,single
37,564,Normal,Myeloid,3008,single
37,564,Normal,unassigned,1048,single
38,564,Tumor,NK,292,single
38,564,Tumor,CD8T,1661,single
38,564,Tumor,CD4T,1185,single
38,564,Tumor,B,2052,single
38,564,Tumor,Myeloid,4140,single
38,564,Tumor,unassigned,2362,single
39,569,Normal,NK,165,single
39,569,Normal,CD8T,339,single
39,569,Normal,CD4T,820,single
39,569,Normal,B,464,single
39,569,Normal,Myeloid,877,single
39,569,Normal,unassigned,893,single
40,569,Tumor,NK,117,single
40,569,Tumor,CD8T,453,single
40,569,Tumor,CD4T,1149,single
40,569,Tumor,B,601,single
40,569,Tumor,Myeloid,869,single
40,569,Tumor,unassigned,575,single
41,570,Normal,NK,384,single
41,570,Normal,CD8T,569,single
41,570,Normal,CD4T,1226,single
41,570,Normal,B,597,single
41,570,Normal,Myeloid,2009,single
41,570,Normal,unassigned,455,single
42,570,Tumor,NK,79,single
42,570,Tumor,CD8T,285,single
42,570,Tumor,CD4T,720,single
42,570,Tumor,B,354,single
42,570,Tumor,Myeloid,974,single
42,570,Tumor,unassigned,367,single
43,571,Tumor,NK,185,single
43,571,Tumor,CD8T,605,single
43,571,Tumor,CD4T,1525,single
43,571,Tumor,B,1251,single
43,571,Tumor,Myeloid,1759,single
43,571,Tumor,unassigned,1303,single
44,572,Normal,NK,386,single
44,572,Normal,CD8T,712,single
44,572,Normal,CD4T,701,single
44,572,Normal,B,791,single
44,572,Normal,Myeloid,2139,single
44,572,Normal,unassigned,482,single
45,572,Tumor,NK,143,single
45,572,Tumor,CD8T,713,single
45,572,Tumor,CD4T,1124,single
45,572,Tumor,B,1332,single
45,572,Tumor,Myeloid,1650,single
45,572,Tumor,unassigned,961,single
46,578,Normal,NK,262,single
46,578,Normal,CD8T,459,single
46,578,Normal,CD4T,721,single
46,578,Normal,B,549,single
46,578,Normal,Myeloid,1185,single
46,578,Normal,unassigned,901,single
47,578,Tumor,NK,330,single
47,578,Tumor,CD8T,886,single
47,578,Tumor,CD4T,1297,single
47,578,Tumor,B,1085,single
47,578,Tumor,Myeloid,1873,single
47,578,Tumor,unassigned,1013,single
48,581,Normal,NK,112,hashed
48,581,Normal,CD8T,243,hashed
48,581,Normal,CD4T,346,hashed
48,581,Normal,B,195,hashed
48,581,Normal,Myeloid,1280,hashed
48,581,Normal,unassigned,638,hashed
48,581,Tumor,NK,54,hashed
48,581,Tumor,CD8T,249,hashed
48,581,Tumor,CD4T,348,hashed
48,581,Tumor,B,410,hashed
48,581,Tumor,Myeloid,807,hashed
48,581,Tumor,unassigned,432,hashed
48,581,ambiguous,NK,17,hashed
48,581,ambiguous,CD8T,23,hashed
48,581,ambiguous,CD4T,35,hashed
48,581,ambiguous,B,28,hashed
48,581,ambiguous,Myeloid,108,hashed
