lineage,rho_used,n_zero_truth,soup_frac_median,soup_frac_zero_truth,before_median_abs,after_median_abs,background_before,background_after,sd_before,sd_after
NK,0.1508627436660383,8,0.11297849490181053,0.2914350503375247,3.982376353853934,3.608298369075633,0.15339954403995384,0.13666629464977562,0.346582199252594,0.29813571576590575
CD8T,0.0578127225184541,8,0.04474309995757735,0.2858196574901072,3.192376391311531,3.337534530901359,0.10058386168753919,0.09838968937213047,0.27357680829439857,0.27141915256328164
CD4T,0.0641965919250194,8,0.053960867238308084,0.4082641319331326,2.9275689644927336,3.127814939130456,0.09874785506948514,0.09641367011301812,0.27513480277675906,0.27307511579233945
B,0.2050266460039344,5,0.2575933539806292,1.0,0.8610945019111815,0.19953215254247325,0.24332339648061682,0.1977116789505926,0.535104221485327,0.45132247736285214
Myeloid,0.0762736300749466,8,0.07049324586223771,0.7670489905463539,3.421924401980302,3.02467418200231,0.1505939389860435,0.14166580252789313,0.36858668408577144,0.33719263669267735
