dataset	donor	compartment	gate	n_libraries	n_nk	n_cells_called	group	accept_pass_frac	rho_narrow	rho_wide	rho_median	rho_narrow_w100	accept_frac_within	accept_frac_within_rhomed	amb_CX3CR1	amb_HAVCR2	amb_ZEB2	amb_CD69	amb_CXCR6	amb_S1PR1	amb_SELPLG	amb_SELL	amb_TIGIT	amb_CD96	amb_CD226	amb_GZMB	amb_GZMH	amb_GNLY	amb_NCAM1	amb_FCGR3A	amb_KLRC1	amb_KLRD1	amb100_CX3CR1	amb100_HAVCR2	amb100_ZEB2	amb100_CD69	amb100_CXCR6	amb100_S1PR1	amb100_SELPLG	amb100_SELL	amb100_TIGIT	amb100_CD96	amb100_CD226	amb100_GZMB	amb100_GZMH	amb100_GNLY	amb100_NCAM1	amb100_FCGR3A	amb100_KLRC1	amb100_KLRD1	ambM_CX3CR1	ambM_HAVCR2	ambM_ZEB2	ambM_CD69	ambM_CXCR6	ambM_S1PR1	ambM_SELPLG	ambM_SELL	ambM_TIGIT	ambM_CD96	ambM_CD226	ambM_GZMB	ambM_GZMH	ambM_GNLY	ambM_NCAM1	ambM_FCGR3A	ambM_KLRC1	ambM_KLRD1	det_CX3CR1	det_HAVCR2	det_ZEB2	det_CD69	det_CXCR6	det_S1PR1	det_SELPLG	det_SELL	det_TIGIT	det_CD96	det_CD226	det_GZMB	det_GZMH	det_GNLY	det_NCAM1	det_FCGR3A	det_KLRC1	det_KLRD1	acc_MS4A1	acc_CD79A	acc_LYZ	acc_HBB
GSE233304	P1	BM	ratio	1	174	3579	GBM	1.0	0.0041389216631605	0.0032835889179361	0.0028750563698638	0.0043948231629241	1.0	1.0	0.000503226038353	0.0081707476757889	0.0026739626334396	0.0016976966348832	0.0091659028414298	0.0010717055629979	0.0015662125243608	0.0050478885213671	0.0011522849286368	0.0010397143521621	0.0010818770566933	0.00018133470845480001	0.0009947491455815	0.0002700629648384	0.0005207295527305	0.000790516527588	0.000179723585126	0.0003593450545787	0.0006002400960384	0.008357628765792	0.0026487501552715	0.0016468125711822997	0.0085034013605442	0.0010465724751439	0.0016841688131563003	0.0055210489993098	0.0012633624878522	0.0011241170242084	0.0010036801605888	0.0001787422851675	0.0009228497600589999	0.0002584716870431	0.0005521048999309	0.000847179020307	0.0002334267040149	0.00036719233147800007	0.000349560427762	0.0056757199250513	0.0018574387069161997	0.0011792862782743	0.006366993505666601	0.0007444484714316999	0.0010879522883469	0.0035064601915264994	0.0008004220407123001	0.0007222261290009	0.000751513987554	0.0001259621589992	0.0006909915432506	0.0001875962655282	0.00036171905133639996	0.0005491236034626	0.000124843009915	0.0002496150863017	0.19540229885057472	0.2586206896551724	0.8850574712643678	0.8448275862068966	0.0114942528735632	0.2413793103448276	0.39080459770114945	0.20114942528735627	0.1379310344827586	0.7528735632183908	0.367816091954023	0.8045977011494253	0.3103448275862069	0.7183908045977011	0.5804597701149425	0.6666666666666666	0.23563218390804588	0.9022988505747126	0.1429880843263061	0.1613198900091659	1.0	0.8395967002749771
GSE233304	P1	PB	ratio	1	146	2948	GBM	0.0	0.0008459422281131	0.0019504407717824003		0.0008238909411726			0.0001964636542239	0.0004911591355599	0.0007272933353483	0.0003276826922234		0.0006958087753765	0.000403452147067	0.0012122225473393	0.0003274394237066	0.0002876509678378	0.0001412483788538	6.300208806920458e-05	0.0001044009756745	8.483976502890862e-05	6.378690072206772e-05	5.797288157428581e-05	5.69459867315851e-05	6.377097390540803e-05	0.000187969924812	0.00048558897243099994	0.0007012724117987	0.0003163089745165		0.0006657268170426	0.0004027926960257	0.0011798112302031	0.0003373819163292	0.0002770871401611	0.0001351417760086	6.027831358500964e-05	9.988739965856673e-05	8.150730144418864e-05	6.347036422224393e-05	5.85480093676815e-05	5.448403617740002e-05	6.101395811626445e-05	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3287671232876712	0.2534246575342466	0.910958904109589	0.9246575342465754	0.0	0.11643835616438349	0.4726027397260274	0.3082191780821918	0.22602739726027393	0.8082191780821918	0.5068493150684932	0.8972602739726028	0.4246575342465753	0.8972602739726028	0.6301369863013698	0.7808219178082192	0.3287671232876712	0.9726027397260274		0.024557956777996	0.4666011787819253	
GSE233304	P15	BM	ratio	1	100	4829	GBM	0.0	0.0016877361907105	0.0029877948939197		0.0017073501429636			0.0001837883370984	0.0038595550790672	0.000785265226857	0.0015154136796619		0.0012459524654646	0.0007954280180873001	0.005617796837309	0.0007147324220494	0.0009274504048023	0.0018518067298555	5.090971162643052e-05	7.460480178609423e-05	3.818433487661687e-05	0.0001148677106865	0.0002628370842375	5.360493165371216e-05	0.0001717439557837	0.0001766849486509	0.0039165163617624	0.0007775170985954	0.0014938078728241		0.0012256523464974	0.0007979320261655	0.0057304818345787	0.0006871081336425	0.0009079643194562001	0.001780234709892	4.894205979856024e-05	7.437768456955244e-05	3.783800955127368e-05	0.0001104280929068	0.0002526784749524	5.153311002318989e-05	0.0001701092952221	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.23	0.05	0.84	0.9	0.0	0.28	0.41	0.11	0.32	0.65	0.08	0.82	0.77	0.9	0.23	0.64	0.12	0.78	0.0214419726614848	0.0536049316537121		0.269096756901635
GSE233304	P15	PB	ratio	1	285	5277	GBM	1.0	0.0023689368768841	0.0029235870014238	0.0032544769673333	0.0024265318951498	1.0	1.0	0.0003843424787133	0.0033112582781456	0.0054734040944691	0.0005911050722699	0.0016556291390728	0.0009911249267919	0.0008278145695364	0.0096578366445916	0.0005033112582781	0.0006597142929638	0.0009460737937559	4.69682025268893e-05	0.00011990628862360001	7.501232345313874e-05	0.0003274870824539	0.0002044872392787	0.0001103752759381	0.0001097221677965	0.00041018009768	0.0033052884615384	0.0054955508722632	0.0006032268754401	0.0016025641025641	0.0009593581022151998	0.0008361204013377	0.0096599002849002	0.0005128205128205	0.0006385696040868	0.0009729853479853	5.303994665696792e-05	0.00011903911625359999	7.486299170554128e-05	0.000316990701606	0.0002048781842931	0.0001068376068376	0.00011379153390979999	0.0005280148056057	0.0045490506329113	0.0075194352927576	0.0008120680047442	0.0022745253164556	0.0013616205976061	0.0011372626582278	0.0132680643459915	0.0006914556962025	0.0009063242640283001	0.0012997287522603	6.452554089236017e-05	0.0001647288530023	0.0001030529269591	0.00044990610655160003	0.0002809272871895	0.000151635021097	0.0001507377724515	0.5964912280701754	0.1052631578947368	0.7228070175438597	0.8701754385964913	0.0035087719298245	0.3894736842105263	0.6947368421052632	0.1403508771929824	0.3298245614035088	0.5508771929824562	0.1824561403508772	0.9087719298245616	0.8666666666666667	0.968421052631579	0.2631578947368421	0.9122807017543859	0.1614035087719298	0.9052631578947369	0.1324503311258278	0.0441501103752759	0.5565924142083083	0.0066225165562913
GSE233304	P16	BM	ratio	1	103	3351	GBM	0.0	0.0005162616605934	0.0377235533625734		0.0005285766721724			1.3072920751954403e-05	0.00019032634624160003	0.0001917361710286	0.0001407627173701	0.0008628127696289	0.0004211348042236001	9.619196418161043e-05	0.0013805004314063	0.0002157031924072	0.0003516505825798	0.0004159990139282	8.954711284305764e-06	2.010137276913419e-05	1.293006960418094e-05	2.121670744989321e-05	5.639299147901899e-06	4.6222112658695936e-05	3.595053206787461e-05	1.2626262626262626e-05	0.00022058823529409998	0.0002083333333333	0.0001381549977983	0.0008333333333333	0.0004265873015873	9.572072072072072e-05	0.0013928571428571	0.0002083333333333	0.0003536414565826	0.0004017857142857	9.157509157509158e-06	1.941457586618877e-05	1.3268810490165473e-05	2.0491803278688525e-05	5.446623093681917e-06	4.4642857142857136e-05	3.472222222222222e-05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2524271844660194	0.2524271844660194	0.883495145631068	0.8252427184466019	0.0097087378640776	0.2912621359223301	0.6407766990291263	0.1941747572815534	0.17475728155339804	0.5728155339805825	0.233009708737864	0.941747572815534	0.8058252427184466	0.9611650485436892	0.3689320388349514	0.7281553398058253	0.145631067961165	0.8737864077669902	0.010353753235547799		0.012479970417847902	0.0349439171699741
GSE233304	P16	PB	ratio	1	70	4455	GBM	0.0	0.0	0.0017214393429272		0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5857142857142857	0.1571428571428571	0.7857142857142857	0.8857142857142857	0.0285714285714285	0.3857142857142857	0.6285714285714286	0.2571428571428571	0.1857142857142857	0.6571428571428571	0.1857142857142857	0.9	0.6857142857142857	0.9428571428571428	0.3571428571428571	0.8142857142857143	0.1571428571428571	0.8857142857142857	0.0		0.0	
GSE233304	P21	BMMC	ratio	1	385	9272	GBM	0.0	0.0053136418915296	0.0106576170006766		0.0054809792495704			0.000128	0.0004444444444444	0.0017350859453993	0.0022696506550218	0.0017142857142857003	0.0060618556701030005	0.0021152542372881	0.005956204379562	0.0024418604651162	0.0039828693790149	0.0014201183431952	0.0006927292656192001	0.0005681632653061	0.00017156952311340003	0.0003307086614173	0.000181990521327	0.0003794466403162	0.0003651315789473001	0.0001486486486486	0.0003128128128128	0.0014039570409640997	0.0018685272335654	0.0028957528957528	0.0049108386737252	0.001683463124141	0.0058813375419214	0.0025337837837837	0.0029081544070837	0.0011994242763473	0.0006887596401662002	0.000438499724214	0.000116203129861	0.00023941264098740003	0.0001392980658383	0.0002603888473453	0.0002417096372688	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4961038961038961	0.174025974025974	0.8415584415584415	0.9532467532467532	0.0129870129870129	0.18701298701298696	0.6883116883116883	0.37142857142857133	0.2857142857142857	0.6337662337662338	0.335064935064935	0.9116883116883115	0.6883116883116883	0.9766233766233766	0.4103896103896104	0.7792207792207793	0.3324675324675324	0.8961038961038961	0.1463999999999999	0.1799999999999999	0.2770909090909091	1.0
GSE233304	P22	BMMC	ratio	1	703	8295	GBM	1.0	0.011045903539969	0.0305461274118851	0.0176044087668256	0.0122155084568117	1.0	0.5555555555555556	0.0013205282112845	0.0010012515644555	0.0038997686783175	0.006617647058823499	0.017825311942959	0.0106579217052674	0.0041188072862281	0.0151348918333473	0.0094117647058823	0.0063305929088861	0.006336158917715499	0.0014242791587151	0.0015073897426838	0.0009148276450177	0.0006735518634934	0.0008090474621914001	0.0003214400514304	0.0010944695611177	0.0015306122448979	0.0011854103343465	0.00420894732198	0.0073311335403726	0.0214285714285714	0.0127675460428073	0.0043110735418427	0.0155564664890346	0.0102857142857142	0.005943352422225601	0.005895196506550201	0.0018101262133092002	0.0017374517374517	0.0009887759467112	0.0006543075245365	0.0009220664393078	0.0006440281030444	0.0013065080046617	0.0021045918367346	0.001595744680851	0.0062152563310685	0.010546875	0.0284090909090909	0.01698606271777	0.006564349112426	0.024121233859397396	0.015	0.0100893824485373	0.0100982532751091	0.0022699449092022	0.0024024024024024	0.0014580065592471	0.0010734732824427	0.0012894193928676	0.0005122950819672	0.0017443108630313	0.5704125177809388	0.2546230440967283	0.7652916073968705	0.8563300142247511	0.0156472261735419	0.3015647226173542	0.7923186344238976	0.3726884779516358	0.2588904694167852	0.6586059743954481	0.2574679943100996	0.8776671408250356	0.6258890469416786	0.945945945945946	0.4253200568990042	0.8634423897581792	0.278805120910384	0.92176386913229	0.05882352941176469	0.0727272727272727	1.0	0.3353901000959824
GSE233304	P24	BM	ratio	1	164	5052	GBM	1.0	0.0065939595567891	0.004662124179581	0.0050749311359228	0.0078984269890346	1.0		0.0001988961264979	0.0006393861892583	0.0009876656636883	0.0038986748545572006		0.0056980056980056	0.0016494661525087	0.0030581994070837	0.0068519715578539	0.0057013574660633	0.0024321266968325	8.741731778692653e-05	0.0005518154729058	0.0001691998298333	0.0016502528613255	0.0001050420168067	0.0002684254927525	0.0003480682213713	0.000215470803706	0.000852514919011	0.0011280315848843	0.0039390756302521		0.0057371096586782	0.0016806722689075002	0.0031643002028397004	0.0068347338935574	0.0058980392156862	0.0029411764705882	8.297707307393979e-05	0.0005356288857006	0.0001675884028825	0.0027681660899653	0.0001400560224089	0.0003323363243602	0.00042128257138390003	0.0001530770907048	0.0004920929301735	0.0007601404263047	0.0030005501607695		0.0043853751726004	0.0012694841487765	0.0023536922325965	0.0052735057747826	0.0043879548050549	0.0018718457997754	6.727928250620923e-05	0.0004246955870165	0.0001302218306343	0.001270089626113	8.084383852850703e-05	0.0002065892092775	0.0002678849087335	0.5609756097560976	0.4207317073170731	0.8902439024390244	0.8963414634146342	0.0	0.2317073170731707	0.6585365853658537	0.4146341463414634	0.1707317073170731	0.7195121951219512	0.3719512195121951	0.9207317073170732	0.6097560975609756	0.975609756097561	0.3414634146341463	0.8597560975609756	0.43902439024390233	0.945121951219512		0.2895927601809955		1.0
GSE233304	P24	BMMC	ratio	1	1249	8219	GBM	1.0	0.00291472126504	0.0050476853041141	0.0051709672941241	0.0028849553860559	1.0	1.0	0.0003299839957762	0.0002455946460367	0.0007673657854088	0.0025474844729455	0.0079312623925974	0.002790303694661	0.001090905694565	0.0023660009739357	0.0013683130279188	0.0021576956790918	0.0014201578881416	0.0002606238722268	0.0003808798324128	0.00027697210735	0.0005734458720857	0.0002487665326091	0.0002683213147744	0.0003481371250699	0.0002759713772929	0.0003157255616272	0.0007605839575224	0.002438108964254	0.0062745098039215	0.0026279050669294	0.0010403620578184	0.0022509643748581	0.0013322924798334	0.0019526782647349998	0.001365826793336	0.0002437804157001	0.000336253718715	0.0002564254575779	0.000642684151456	0.0002113798915766	0.00024175419200290002	0.0003258179199855	0.0005854201121079	0.0004357061162246	0.0013613731874029	0.004519457503498	0.0140707445769005	0.0049502397772392	0.0019353609332151001	0.0041974900999391	0.0024275055046799	0.0038279385137376	0.0025194827650088	0.0004623692616914	0.0006757137226195	0.0004913724429399	0.0010173425106105	0.00044133331698760004	0.00047602518966620005	0.0006176253315194	0.622097678142514	0.3034427542033627	0.8630904723779024	0.8310648518815053	0.0112089671737389	0.2754203362690152	0.7630104083266613	0.5012009607686149	0.2658126501200961	0.6837469975980784	0.3210568454763811	0.9831865492393917	0.7069655724579663	0.9871897518014412	0.3482786228983187	0.9279423538831065	0.5196156925540433	0.9711769415532426	0.1926163723916533	0.1265917602996255		0.8397397989355413
