n_testable_genes	n_significant	significant_genes	rho_bm	rho_pb	rho_ratio_bm_over_pb	rho_p	acceptance_pooled	verdict_key	verdict	dataset	gate	paired	n_donors_bm	n_donors_pb
11	0		0.009025621657426925	0.0027967330693032	3.2272016791633384	0.3210389777699189	"{""BM"": true, ""BMMC"": true, ""PB"": true}"	A_PASS	Delta_ambient near zero on most markers and rho_BM ~ rho_PB: compartment soup is not a systematic confounder, paired Delta(BM-PB) is an interpretable quantity, marrow-arm premise P1 holds.	GSE233304	ratio	True	7	8
14	0		0.01747533376421106	0.015420090734865227	1.1332834588773772	0.3941354433786311	"{""BM"": true, ""PB"": true}"	A_PASS	Delta_ambient near zero on most markers and rho_BM ~ rho_PB: compartment soup is not a systematic confounder, paired Delta(BM-PB) is an interpretable quantity, marrow-arm premise P1 holds.	HCA_ICA	ratio	False	8	8
