definition,tissue,assay,donor,n_nk,n_bright,median_umi,bright_frac,stress,CCL3,CCL3_bright,CCL4,CCL4_bright,CCL5,CCL5_bright,XCL1,XCL1_bright,XCL2,XCL2_bright
author,blood,10x 3' v3,D496,950,11,4094.5,0.011578947368421053,1.114168527426824,0.30526315789473685,0.36363636363636365,0.6736842105263158,0.18181818181818182,0.8852631578947369,0.8181818181818182,0.02631578947368421,0.18181818181818182,0.18736842105263157,0.36363636363636365
author,blood,10x 3' v3,D503,2561,389,3633.0,0.15189379148770013,1.3129754745215945,0.6556032799687622,0.19023136246786632,0.7313549394767669,0.2802056555269923,0.6852791878172588,0.38303341902313626,0.2951971885982038,0.8997429305912596,0.552909019914096,0.8097686375321337
author,blood,10x 5' v1,A35,81,9,3903.0,0.1111111111111111,0.523657784786817,0.25925925925925924,0.1111111111111111,0.7283950617283951,0.4444444444444444,0.9382716049382716,0.7777777777777778,0.37037037037037035,1.0,0.13580246913580246,0.3333333333333333
author,blood,10x 5' v1,A36,125,15,5019.0,0.12,0.615575991539399,0.152,0.06666666666666667,0.672,0.4,0.896,0.8,0.128,0.8,0.4,1.0
author,blood,10x 5' v2,621B,4,1,3679.5,0.25,0.8767578800658093,0.5,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0
author,blood,10x 5' v2,637C,263,20,4382.0,0.07604562737642585,1.4275013310420717,0.8250950570342205,0.7,0.8631178707224335,0.6,0.8517110266159695,0.7,0.18631178707224336,0.8,0.3688212927756654,0.85
author,bone marrow,10x 3' v3,D496,1884,7,4386.5,0.0037154989384288748,1.5716285408259576,0.7595541401273885,0.5714285714285714,0.9676220806794055,0.8571428571428571,0.8842887473460722,1.0,0.08333333333333333,0.2857142857142857,0.3471337579617834,1.0
author,bone marrow,10x 3' v3,D503,4988,623,4167.0,0.12489975942261428,1.5541618387760543,0.7107056936647955,0.43659711075441415,0.9065757818765036,0.6067415730337079,0.7004811547714515,0.5152487961476726,0.22373696872493987,0.7945425361155698,0.506214915797915,0.8250401284109149
author,bone marrow,10x 5' v1,A29,185,10,3218.0,0.05405405405405406,0.6757280802540098,0.4810810810810811,0.6,0.8432432432432433,0.7,0.8378378378378378,0.5,0.4540540540540541,0.7,0.34594594594594597,0.3
author,bone marrow,10x 5' v1,A31,19,1,4814.0,0.05263157894736842,1.6733068374629985,0.8421052631578947,1.0,1.0,1.0,0.7368421052631579,1.0,0.3157894736842105,1.0,0.05263157894736842,0.0
author,bone marrow,10x 5' v1,A35,159,18,5378.0,0.11320754716981132,1.212909246358372,0.8679245283018868,0.8333333333333334,0.9811320754716981,0.9444444444444444,0.9182389937106918,0.8888888888888888,0.6981132075471698,0.9444444444444444,0.37735849056603776,0.6666666666666666
author,bone marrow,10x 5' v1,A36,74,10,4302.0,0.13513513513513514,1.3705135808707436,0.6216216216216216,0.6,0.8108108108108109,0.6,0.7702702702702703,0.9,0.20270270270270271,0.8,0.3783783783783784,0.5
