gene,quadrant,reason,delta,equiv_key,change_key,NK_log2FC,NK_SE,NK_CI95_lo,NK_CI95_hi,NK_CI90_lo,NK_CI90_hi,NK_null_change,NK_null_equiv,NK_saturated,NK_changed,NK_equivalent,NK_TOST_p,CD8T_log2FC,CD8T_SE,CD8T_CI95_lo,CD8T_CI95_hi,CD8T_CI90_lo,CD8T_CI90_hi,CD8T_null_change,CD8T_null_equiv,CD8T_saturated,CD8T_changed,CD8T_equivalent,CD8T_TOST_p,CD4T_log2FC,CD4T_SE,CD4T_CI95_lo,CD4T_CI95_hi,CD4T_CI90_lo,CD4T_CI90_hi,CD4T_null_change,CD4T_null_equiv,CD4T_saturated,CD4T_changed,CD4T_equivalent,CD4T_TOST_p,B_log2FC,B_SE,B_CI95_lo,B_CI95_hi,B_CI90_lo,B_CI90_hi,B_null_change,B_null_equiv,B_saturated,B_changed,B_equivalent,B_TOST_p,Myeloid_log2FC,Myeloid_SE,Myeloid_CI95_lo,Myeloid_CI95_hi,Myeloid_CI90_lo,Myeloid_CI90_hi,Myeloid_null_change,Myeloid_null_equiv,Myeloid_saturated,Myeloid_changed,Myeloid_equivalent,Myeloid_TOST_p
FO538757.2,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.15460531818812462,0.17879553629623612,-0.5180597783889438,0.20884914201269456,-0.45699714868644903,0.1477865123101998,0.335992965774411,0.2775520284510558,False,False,True,0.03090834265438286,-0.24392198351058855,0.0829704682619689,-0.41280559932430094,-0.07503836769687613,-0.3843878090872589,-0.10345615793391824,0.2106060278657313,0.156878148699099,False,False,False,0.0020574490096973925,-0.20350857460379343,0.09231458091417577,-0.39150674358155396,-0.015510405626032897,-0.35985362312226826,-0.0471635260853186,0.19654171733029455,0.15699517277062222,False,False,False,0.0014956347071868807,-0.5506038713267714,0.2729821827343927,-1.106282024467741,0.005074281814198223,-1.0127725075286023,-0.08843523512494056,0.5851228130641898,0.44435125336638265,False,False,False,0.5729571009854032,0.08244892699698095,0.08363856267645116,-0.08799313334563275,0.25289098733959464,-0.05927344234201887,0.22417129633598076,0.1770753726613084,0.16040406765422566,False,False,True,1.0442254423260486e-05
NOC2L,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.06938952248993509,0.17484071884313107,-0.2860256092556729,0.42480465423554303,-0.22631363717406977,0.3650926821539399,0.3641031163010766,0.3000428331164724,False,False,True,0.009522276606429937,-0.04361540192894075,0.07696496117210982,-0.20027500872624054,0.11304420486835903,-0.17391413397155822,0.08668333011367671,0.16574127345778059,0.13051471685815744,False,False,True,6.206532256572902e-07,-0.007358703772411761,0.07277635718031523,-0.15556738066052606,0.14084997311570252,-0.13061358920521782,0.11589618166039431,0.1464409471912454,0.12099435700455416,False,False,True,5.807249933684923e-08,0.3364953224124653,0.13956740774540313,0.05239414555984406,0.6205964992650865,0.10020269023478634,0.5727879545901443,0.2906587656090117,0.2480154926769261,False,False,False,0.12494897569952296,0.149158284130909,0.07939370430055262,-0.012633431391103733,0.31094999965292175,0.014628666165077159,0.2836879020967409,0.21373804873271174,0.16982678990396174,False,False,True,5.432374645163019e-05
ISG15,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.5398145722752851,0.3390080751520951,-0.14931894587909,1.2289480904296601,-0.033540191062358726,1.1131693356129289,0.7611069208188427,0.6262310640570875,False,False,False,0.5463979630085218,0.5995468529025361,0.14277086723839655,0.30894152311278067,0.8901521826922915,0.3578412417973991,0.8412524640076731,0.4084084745381249,0.3612572656101498,False,True,False,0.754704995652732,0.4491120462454899,0.18523750369558728,0.07187682320789113,0.8263472692830887,0.13539165434280048,0.7628324381481792,0.42674954427445455,0.37226063421233485,False,False,False,0.39264482571754544,2.6628787868725388,0.5986053459443672,1.4443673449799272,3.8813902287651505,1.6494184445636204,3.676339129181457,1.6577543273419963,1.3639700260167857,False,True,False,0.999496520895816,0.27756040208815136,0.20084024908837966,-0.13172001544806788,0.6868408196243706,-0.06275577562462176,0.6178765798009245,0.5432788722808304,0.4302039657706798,False,False,False,0.13820361760026104
TNFRSF18,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.29825683092769334,0.19821971568303623,-0.10468298097774736,0.701196642833134,-0.036986564449580206,0.6335002263049669,0.47842278076404693,0.3666366576605373,False,False,False,0.1580125131712951,1.1619916829769195,0.1811592047680549,0.7932481748341607,1.5307351911196783,0.85529608643993,1.468687279513909,0.6896644057251998,0.5632035348624742,False,True,False,0.9995508933856136,1.2382907329049468,0.11580228746645246,1.0024599704020078,1.4741214954078858,1.0421666312386555,1.4344148345712382,0.6232979132506424,0.5155386843862799,False,True,False,0.9999998205847677,-0.6403021973560021,0.40038373513510594,-1.4553169073234753,0.17471251261147103,-1.3181662358483335,0.0375618411363291,0.9416174772402001,0.8805271709795864,False,False,False,0.6358591783345438,1.1953280889927893,0.32406501358496487,0.5349352410902273,1.8557209368953513,0.6462122257419801,1.7444439522435986,1.2322432720857575,1.166159698774436,False,False,False,0.9801605385634484
TNFRSF4,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.08410551849716062,0.29578190437478064,-0.5171581070868149,0.6853691440811361,-0.4161420455358634,0.5843530825301847,0.6224480410141479,0.5678209069616276,False,False,False,0.08441940543908574,1.6031930984413933,0.17708330106012404,1.2427459561059297,1.963640240776857,1.3033978508032176,1.9029883460795691,0.9549667363516682,0.7448305244499082,False,True,False,0.9999997414329534,1.5885238670084187,0.12806207788161816,1.3277261044142912,1.8493216296025463,1.3716364416255045,1.805411292391333,0.7922961118390567,0.6411510781300288,False,True,False,0.9999999995070485,-0.6274536038598577,0.48599334704340275,-1.6167338668381799,0.36182665911846434,-1.450257788940154,0.19535058122043858,1.2386188089457435,0.9497820155933896,False,False,False,0.602610786886962,-0.10626185595748862,0.29598295259664914,-0.7094279393108902,0.496904227395913,-0.6077937329245767,0.3952700210095995,0.8419769067125791,0.7207573148753661,False,False,False,0.09646880007016774
SDF4,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.09751592201529775,0.1537561562729763,-0.4100704853918546,0.2150386413612591,-0.3575593577123583,0.16252751368176283,0.2600465671970374,0.19885365771852548,False,False,True,0.006577362447079337,0.07527428547943048,0.0727499131487851,-0.07280573190588797,0.22335430286474894,-0.047888531666669426,0.19843710262553038,0.14065465793454163,0.11361691508393428,False,False,True,8.115715728890601e-07,0.08369468600028084,0.1061789370686162,-0.1325381729395515,0.2999275449401132,-0.0961311974434874,0.26352056944404906,0.1471206252963929,0.1213519321305525,False,False,True,0.00021716472763263684,1.009770561575085,0.32859600778798115,0.3408857980783342,1.6786553250718357,0.45344572286390294,1.566095400286267,0.7715650805399049,0.7093549136808674,False,True,False,0.9347573505477789,0.11337605003752489,0.053327453924819995,0.004703198318000534,0.22204890175704925,0.02301470379729663,0.20373739627775317,0.11245984566220307,0.09753632161983272,False,False,False,1.649118598418553e-08
UBE2J2,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.1634730101507047,0.1707834551402512,-0.5106405613382647,0.1836945410368554,-0.4523142345374468,0.1253682142360374,0.39896950361987,0.2757959710074216,False,False,True,0.02851487749907417,-0.10170402464713474,0.08698275930023798,-0.27875452480456775,0.07534647551029824,-0.2489625053088032,0.04555445601453373,0.16011555400123828,0.15320569505954768,False,False,True,3.2452720265879756e-05,-0.132660463774211,0.06565834893427254,-0.2663733534987707,0.0010524259503487121,-0.2438602076079118,-0.021460719940510214,0.12750472873678909,0.10962910595125754,False,False,False,1.728735362272351e-06,0.5012004050240357,0.3048151174368891,-0.11927635946715254,1.1216771695152241,-0.014862532521518368,1.0172633425695898,0.6047301945587833,0.4757893738019494,False,False,False,0.5015590683549893,0.03314745161569817,0.06286683976581557,-0.0949651480515779,0.16126005128297421,-0.07337802179460934,0.13967292502600567,0.15913127080355283,0.129999457036438,False,False,True,1.0140800262432359e-08
CPSF3L,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.1608283982741027,0.19547707407968112,-0.5581929852935029,0.2365361887452975,-0.4914332415263092,0.16977644497810382,0.39359332826198346,0.2926597457979751,False,False,True,0.04592388330256775,0.058030699525626894,0.07785436273240508,-0.10043925442963716,0.21650065348089095,-0.0737737553006875,0.1898351543519413,0.1451675961529932,0.12004392437067794,False,False,True,1.3022671780255712e-06,0.025550346784841676,0.07813225424630726,-0.13356558691653778,0.1846662804862211,-0.10677534824651498,0.15787604181619833,0.17841747897729746,0.1621055409104433,False,False,True,4.307069047773813e-07,-0.07742434273854351,0.17821554453382685,-0.4401970470066613,0.2853483615295743,-0.37914965807645273,0.22430097259936574,0.29693781283758897,0.26021685433161906,False,False,True,0.011905573832477534,0.12076954303856459,0.05333326972638202,0.012084839642384701,0.2294542464347445,0.030398342143370963,0.2111407439337582,0.14008883338850672,0.10437390907305195,False,False,False,2.4294956370106652e-08
AURKAIP1,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.1709026425212098,0.1966160014723887,-0.5705824340994006,0.228777149056981,-0.5034337214402559,0.1616284363978363,0.3370424300595984,0.2825673833252682,False,False,False,0.05170629029813311,-0.0057555434059849845,0.08419842963531984,-0.1771386335646691,0.1656275467526991,-0.1483002605653736,0.1367891737534036,0.1498033861661942,0.11625611713948701,False,False,True,7.393227032387085e-07,0.0672193363312404,0.11302969274866609,-0.1629650512967929,0.2974037239592737,-0.12420906665579907,0.2586477393182799,0.13835763870221207,0.1283063684219605,False,False,True,0.0002806808944624546,1.1221908001077068,0.353315745933165,0.40298693409279185,1.8413946661226217,0.5240145572082081,1.7203670430072053,0.7768269467483647,0.7112320787495049,False,True,False,0.9561846964092491,0.12693269659748868,0.047968207721103245,0.02918113447948921,0.22468425871548814,0.0456523895998875,0.20821300359508987,0.1064386525318875,0.09327318725227166,False,False,False,3.883359611528256e-09
CCNL2,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.15705843638514055,0.18980980974923686,-0.22878577075953938,0.5429026435298205,-0.1639615230925543,0.4780783958628354,0.34131810886664604,0.32153590245714714,False,False,True,0.03986071863436261,-0.1530428643727025,0.09218989022932224,-0.34069230554783075,0.03460657680242574,-0.30911681830047644,0.0030310895550713923,0.19136682994360407,0.15500955728978938,False,False,True,0.0003318123933637406,-0.092977799420539,0.08479055842010927,-0.26565333530800755,0.07969773646692956,-0.2365800758845909,0.0506244770435129,0.15398205086165315,0.11232145888163254,False,False,True,1.7525471306738688e-05,0.14971794436137692,0.2284613890908367,-0.3153343952542745,0.6147702839770284,-0.23707538977949244,0.5365112785022463,0.46471528885514335,0.4311372308277334,False,False,False,0.06744215587669868,0.3438288167132768,0.1034388240460937,0.13303697948342438,0.5546206539431292,0.16855565614783602,0.5191019772787175,0.31173792098568986,0.25067848860306263,False,False,False,0.07050948543945565
MRPL20,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.038675249007289206,0.22624789499950645,-0.4985905704523039,0.42124007243772554,-0.42132191084531007,0.3439714128307317,0.4471294393107953,0.36746294240795147,False,False,True,0.0246703415567249,0.15749321006014455,0.08509622382634052,-0.015717310175918292,0.33070373029620737,0.013428561714620119,0.30155785840566895,0.12836705164607057,0.10914767024805039,False,False,False,0.00015927516955555488,0.12228861546257203,0.11137018580743774,-0.10451619481952865,0.3490934257446727,-0.06632922725680718,0.31090645818195123,0.16784776317190564,0.12716278880137713,False,False,True,0.00092827127425089,0.8912185478968444,0.33831843623877766,0.20254296497199786,1.579894130821691,0.31843328875578214,1.4640038070379067,0.693176692298384,0.6675572263539553,False,True,False,0.8720250101119394,0.1137598251661231,0.04275707637870254,0.026627718168970915,0.20089193216327528,0.04130958240143692,0.18621006793080927,0.09693132548638242,0.07964271497506996,False,False,False,1.4220005995551042e-10
