gene,green,red,matched,gap_pp,residual_pp,closed
Mrpl15,0.21558441558441557,0.2076923076923077,0.25343844003931604,0.7892107892107869,4.574613234700833,-4.796440313842465
Lypla1,0.15844155844155844,0.16615384615384615,0.17119712492535902,-0.7712287712287713,0.5043278771512866,0.34607227327922563
Tcea1,0.2779220779220779,0.32461538461538464,0.29010950286021225,-4.669330669330673,-3.4505881755172387,0.2610101061846912
Atp6v1h,0.23116883116883116,0.14923076923076922,0.19253903271842407,8.193806193806195,4.330826348765485,0.4714512100567849
Rb1cc1,0.5142857142857142,0.34307692307692306,0.39300645172628257,17.120879120879117,4.992952864935951,0.7083705322790939
4732440D04Rik,0.0987012987012987,0.14,0.09886737255130501,-4.129870129870131,-4.1132627448695,0.004021285047322576
Pcmtd1,0.38701298701298703,0.36923076923076925,0.308753139209781,1.778221778221778,-6.047763002098828,-2.401017283764566
Rrs1,0.07012987012987013,0.11692307692307692,0.10346326768110402,-4.679320679320679,-1.3459809241972902,0.7123554856700496
Vcpip1,0.3246753246753247,0.26615384615384613,0.27039012327457046,5.852147852147854,0.423627712072433,0.9276115841952022
Snhg6,0.18961038961038962,0.19846153846153847,0.18453956895665288,-0.8851148851148849,-1.3921969504885583,-0.5728997149424913
Cops5,0.2649350649350649,0.2630769230769231,0.2796056224980058,0.18581418581418152,1.6528699421082704,-7.8952839357549305
Cspp1,0.24935064935064935,0.2276923076923077,0.2616779616440599,2.1658341658341658,3.3985653951752184,-0.5691715685287795
Arfgef1,0.43376623376623374,0.38153846153846155,0.38766132528338804,5.22277722277722,0.6122863744926488,0.8827661321983279
Ncoa2,0.3012987012987013,0.20461538461538462,0.26825498223972133,9.668331668331668,6.363959762433671,0.3417727090105285
Tram1,0.5558441558441558,0.4876923076923077,0.493038678491551,6.815184815184811,0.5346370799243272,0.921552079008465
Lactb2,0.12467532467532468,0.09538461538461539,0.08025906952165218,2.929070929070929,-1.5125545862963206,0.48360602289133114
