labelling,tissue,assay,donor,n_nk,n_bright,n_unclass,median_umi,bright_frac,stress,CCL3,CCL3_bright,CCL4,CCL4_bright,CCL5,CCL5_bright,XCL1,XCL1_bright,XCL2,XCL2_bright
original,spleen,10x 5' v1,A35,206,121,0,5326.5,0.587378640776699,3.396658396066234,0.7281553398058253,0.859504132231405,0.9271844660194175,0.9008264462809917,0.8883495145631068,0.8512396694214877,0.7669902912621359,0.9090909090909091,0.5679611650485437,0.7272727272727273
original,spleen,10x 5' v1,A36,479,390,0,4939.0,0.81419624217119,3.0540238498741634,0.8079331941544885,0.8564102564102564,0.918580375782881,0.9230769230769231,0.8288100208768268,0.823076923076923,0.6179540709812108,0.7410256410256411,0.7411273486430062,0.8384615384615385
original,spleen,10x 5' v1,A37,345,159,0,3261.0,0.4608695652173913,1.3889029137791076,0.7246376811594203,0.7295597484276729,0.8782608695652174,0.8867924528301887,0.8927536231884058,0.8490566037735849,0.4260869565217391,0.7987421383647799,0.6869565217391305,0.9245283018867925
original,spleen,10x 5' v1,A52,131,26,0,3566.0,0.1984732824427481,1.321201297997207,0.5190839694656488,0.6538461538461539,0.7633587786259542,0.6923076923076923,0.7709923664122137,0.6923076923076923,0.21374045801526717,0.6153846153846154,0.5267175572519084,0.6153846153846154
original,spleen,10x 5' v2,582C,447,290,0,3411.0,0.6487695749440716,1.839895473516203,0.6062639821029083,0.6689655172413793,0.7404921700223713,0.6793103448275862,0.7337807606263982,0.7275862068965517,0.5525727069351231,0.7344827586206897,0.6085011185682326,0.7689655172413793
original,spleen,10x 5' v2,621B,320,163,0,3627.5,0.509375,2.296825679723421,0.725,0.7423312883435583,0.821875,0.7975460122699386,0.765625,0.754601226993865,0.359375,0.6319018404907976,0.340625,0.5460122699386503
original,spleen,10x 5' v2,637C,638,338,0,4788.0,0.5297805642633229,1.6236356691244969,0.799373040752351,0.8017751479289941,0.8557993730407524,0.8017751479289941,0.8213166144200627,0.7544378698224852,0.4843260188087774,0.8106508875739645,0.5783699059561128,0.849112426035503
original,spleen,10x 5' v2,640C,346,121,0,4452.0,0.34971098265895956,3.271774511686342,0.5,0.4628099173553719,0.7109826589595376,0.5371900826446281,0.815028901734104,0.6446280991735537,0.36416184971098264,0.8760330578512396,0.3670520231213873,0.8016528925619835
original,liver,10x 5' v1,A29,64,38,0,4436.5,0.59375,2.270131736557538,0.78125,0.9210526315789473,0.875,0.9736842105263158,0.75,0.7368421052631579,0.796875,0.9473684210526315,0.71875,0.868421052631579
original,liver,10x 5' v1,A31,141,81,0,3380.0,0.574468085106383,2.152979449578895,0.75177304964539,0.8765432098765432,0.8652482269503546,0.8888888888888888,0.8014184397163121,0.7530864197530864,0.723404255319149,0.9012345679012346,0.3546099290780142,0.41975308641975306
original,liver,10x 5' v1,A35,63,35,0,5352.0,0.5555555555555556,2.738335990389879,0.8095238095238095,0.8285714285714286,0.9682539682539683,0.9714285714285714,0.9206349206349206,0.9428571428571428,0.7777777777777778,0.9714285714285714,0.4126984126984127,0.5428571428571428
original,liver,10x 5' v1,A36,609,447,0,1209.0,0.7339901477832512,1.5157034659794808,0.7931034482758621,0.8523489932885906,0.7799671592775042,0.7472035794183445,0.6666666666666666,0.6532438478747203,0.4614121510673235,0.5906040268456376,0.5073891625615764,0.5838926174496645
original,liver,10x 5' v1,A52,638,389,0,4873.0,0.609717868338558,2.07525984547918,0.7586206896551724,0.8663239074550129,0.8808777429467085,0.8894601542416453,0.7899686520376176,0.7712082262210797,0.603448275862069,0.8560411311053985,0.7899686520376176,0.8791773778920309
original,liver,10x 5' v2,637C,955,454,0,4743.0,0.47539267015706804,1.5319668511256048,0.8104712041884817,0.8237885462555066,0.8544502617801047,0.8105726872246696,0.8586387434554974,0.8127753303964758,0.4617801047120419,0.8281938325991189,0.5403141361256545,0.8281938325991189
original,liver,10x 5' v2,640C,1117,261,0,4543.0,0.23366159355416294,2.7247863022920997,0.7278424350940018,0.685823754789272,0.8710832587287377,0.8160919540229885,0.8504923903312444,0.6819923371647509,0.3455684870188004,0.8697318007662835,0.3106535362578335,0.7318007662835249
