batch,condition,lineage,rho_per_sample,rho_pooled,rho_wide
91,Normal,CD4T,0.1402424591677684,0.14219023829028202,0.138876833058062
91,Tumor,B,0.059815673865171615,0.06300922824659944,0.13532629093989437
91,Normal,B,0.08727148348913465,0.06300922824659944,1.0
91,Tumor,Myeloid,0.18278087215879293,0.1592968058980337,0.2879383372378792
91,Normal,Myeloid,0.13449007025630078,0.1592968058980337,0.29565200178685047
230,Tumor,NK,0.06695527895813276,0.06695527895813276,0.06105897159569567
230,Tumor,CD8T,0.04129448959295674,0.04129448959295674,0.048867070345643894
230,Tumor,CD4T,0.014105809885254603,0.014105809885254603,0.018598804612204676
230,Tumor,B,0.07227255874982644,0.07227255874982644,0.12650048286727625
230,Tumor,Myeloid,0.09092865878452379,0.09092865878452379,0.07744411579540326
92,Tumor,NK,0.8132897156493116,0.47892852711764106,0.7152210853063382
92,Normal,NK,0.27876437629348705,0.47892852711764106,0.3314824534237929
92,Tumor,CD8T,0.2710923585796245,0.23383332672434926,0.27206159980593503
92,Normal,CD8T,0.20405719646811651,0.23383332672434926,0.20014553260768592
92,Tumor,CD4T,0.1707580878841394,0.1645189061913776,0.1623740056008648
92,Normal,CD4T,0.16165347534937155,0.1645189061913776,0.15657539893417685
92,Tumor,B,0.10453912709590521,0.11068580606000084,0.17787276132516178
92,Normal,B,0.14775265520637476,0.11068580606000084,1.0
92,Tumor,Myeloid,0.2113805474056914,0.18753057302427772,0.2935983292270851
92,Normal,Myeloid,0.160851437752858,0.18753057302427772,0.30762445565518304
231,Tumor,NK,0.04039760247235057,0.04039760247235057,0.1593223340551928
231,Tumor,CD8T,0.04992835146184258,0.04992835146184258,0.043017814759261266
231,Tumor,CD4T,0.02888507225552997,0.02888507225552997,0.028527991412513817
231,Tumor,B,0.0873169320932786,0.0873169320932786,0.13071253425900822
231,Tumor,Myeloid,0.6019828024281286,0.6019828024281286,0.5465134610670731
244,Normal,NK,0.0,0.0,0.012226655258094039
244,Normal,CD8T,0.007242230657320952,0.007242230657320952,0.021015185019722677
244,Normal,CD4T,1.0,1.0,0.06434382433479376
244,Normal,B,0.2762430999710095,0.2762430999710095,1.0
244,Normal,Myeloid,0.01174710103402719,0.01174710103402719,0.08348588616725039
292,Tumor,NK,0.5094719091494424,0.5094719091494424,0.4669411116854809
292,Tumor,CD8T,0.03867331600812664,0.03867331600812664,0.04415903840255329
292,Tumor,CD4T,0.03170399329642449,0.03170399329642449,0.03263764249559449
292,Tumor,B,0.21492179853739227,0.21492179853739227,0.10892474120812792
292,Tumor,Myeloid,0.14995834350839135,0.14995834350839135,0.1396857786333793
245,Tumor,NK,0.44566274173710757,0.44566274173710757,0.5268021125011463
245,Tumor,CD8T,0.4413581280570911,0.4413581280570911,0.4099132695359584
245,Tumor,CD4T,0.16280418907236444,0.16280418907236444,0.1881502394487473
245,Tumor,B,0.5770845771772357,0.5770845771772357,0.4970401016402137
245,Tumor,Myeloid,0.3288874834046606,0.3288874834046606,0.2851585143419134
293,Normal,NK,0.02422435793885355,0.02422435793885355,0.0633214933198847
293,Normal,CD8T,0.02853569806322968,0.02853569806322968,0.06326227899135992
293,Normal,CD4T,0.024486590914349182,0.024486590914349182,0.061659017025892576
293,Normal,B,0.3669861994412636,0.3669861994412636,0.29619342651222214
293,Normal,Myeloid,0.023554203552724435,0.023554203552724435,0.05628725759715579
93,Tumor,NK,0.5718885804782434,0.3635844933671152,0.7800030372239967
93,Normal,NK,0.2340945295533142,0.3635844933671152,0.3420387731493156
93,Tumor,CD8T,0.284729447323661,0.2246998976509852,0.2571974740890838
93,Normal,CD8T,0.16240135857504134,0.2246998976509852,0.15633560096289495
93,Tumor,CD4T,0.15085627693541578,0.14719221433877808,0.14176154573877106
93,Normal,CD4T,0.14548939413855055,0.14719221433877808,0.14099775607437073
93,Tumor,B,0.07850242195813349,0.08327186165561713,0.14516658442365862
93,Normal,B,0.10957654410981,0.08327186165561713,1.0
93,Tumor,Myeloid,0.17846564496678669,0.18252597762388506,0.2655504767861297
93,Normal,Myeloid,0.18678064216731663,0.18252597762388506,0.3511191996728667
