gene,direction,green,red,delta_pp,cd8t_green,cd8t_red,cd8t_delta_pp,T_diff_pp,cosynchronous_with_CD8T,n_pos_green,n_pos_red,ceiling_touched,f,green_24h,red_24h,f_24h,dir_24h,green_72h,red_72h,f_72h,dir_72h,dir_stable,f_lo,f_hi
Lypla1,rise,0.1584415584415584,0.1661538461538464,-0.7712287712288018,0.2546419098143234,0.1853360488798365,6.930586093448682,-7.701814864677483,False,61,108,False,0.0464165464165481,0.1134020618556701,0.1921397379912664,0.4097938144329899,rise,0.1736111111111109,0.1520190023752968,0.0254629629629628,fall,False,0.0020725233,0.28039175
Tcea1,rise,0.2779220779220779,0.3246153846153855,-4.669330669330757,0.4164456233421744,0.3574338085539719,5.901181478820244,-10.570512148151,False,107,211,False,0.1438419400504731,0.2577319587628865,0.3144104803493453,0.1802691867124868,rise,0.2847222222222217,0.3301662707838485,0.1376398880895313,rise,True,0.007373553,0.3003972
4732440D04Rik,rise,0.0987012987012987,0.1400000000000002,-4.129870129870152,0.0954907161803714,0.177189409368635,-8.16986931882636,4.039999188956208,True,38,91,False,0.2949907235621531,0.0927835051546391,0.1441048034934497,0.3561387066541704,rise,0.1006944444444444,0.1377672209026127,0.2690972222222214,rise,True,0.015386808,0.5155804
Rrs1,rise,0.0701298701298701,0.116923076923077,-4.679320679320695,0.090185676392573,0.0885947046843178,0.1590971708255173,-4.838417850146212,False,27,76,False,0.4002050580997957,0.0412371134020618,0.1091703056768558,0.6222680412371132,rise,0.0798611111111111,0.1211401425178146,0.3407543572984741,rise,True,0.114328295,0.62481964
Snhg6,rise,0.1896103896103896,0.1984615384615389,-0.8851148851149265,0.1989389920424402,0.20366598778004,-0.472699573759977,-0.4124153113549494,True,73,129,False,0.0445988120406745,0.1958762886597937,0.2052401746724892,0.0456240403597286,rise,0.1874999999999998,0.1947743467933492,0.0373475609756112,rise,True,0.0017755968,0.26596412
Tmem70,rise,0.0909090909090909,0.1246153846153848,-3.370629370629388,0.1114058355437667,0.1048879837067211,0.6517851837045563,-4.0224145543339445,False,35,81,False,0.2704826038159381,0.0721649484536082,0.1091703056768558,0.3389690721649481,rise,0.0972222222222222,0.1330166270783846,0.2690972222222214,rise,True,0.0060192696,0.5176252
Mcm3,rise,0.0805194805194805,0.096923076923077,-1.640359640359648,0.1167108753315651,0.1059063136456213,1.080456168594378,-2.720815808954026,False,31,63,False,0.1692434549577413,0.0515463917525773,0.1004366812227073,0.4867772299417299,rise,0.0902777777777778,0.0950118764845605,0.049826388888888,rise,True,0.0012004802,0.486166
Kcnq5,rise,0.0571428571428571,0.0738461538461538,-1.6703296703296695,0.0079575596816976,0.0336048879837067,-2.56473283020091,0.8944031598712403,True,22,48,False,0.226190476190476,0.0618556701030927,0.0829694323144104,0.254476397178513,rise,0.0555555555555555,0.0688836104513064,0.193486590038314,rise,True,0.0019832384,0.5497835
Ogfrl1,rise,0.0519480519480519,0.096923076923077,-4.497502497502506,0.0503978779840848,0.0376782077393075,1.271967024477734,-5.769469521980239,False,20,63,False,0.4640280354566073,0.0412371134020618,0.0960698689956331,0.5707591377694468,rise,0.0555555555555555,0.0973871733966745,0.4295392953929533,rise,True,0.15584415,0.6964955
Sdhaf4,rise,0.135064935064935,0.1492307692307695,-1.4165834165834417,0.1087533156498674,0.1211812627291244,-1.2427947079256942,-0.1737887086577474,True,52,97,False,0.0949256928638386,0.1134020618556701,0.1528384279475982,0.2580265095729012,rise,0.142361111111111,0.1472684085510688,0.0333221326164873,rise,True,0.0016674104,0.34538916
Ccdc115,rise,0.1246753246753247,0.1584615384615387,-3.378621378621406,0.1140583554376659,0.1608961303462319,-4.683777490856605,1.3051561122351991,True,48,103,False,0.2132139704955252,0.1030927835051546,0.165938864628821,0.3787303309820944,rise,0.1319444444444444,0.1543942992874108,0.1454059829059826,rise,True,0.0057720058,0.43722942
Ankrd39,rise,0.0987012987012987,0.1446153846153848,-4.591408591408615,0.0981432360742706,0.1395112016293279,-4.136796555505729,-0.454612035902886,True,38,94,False,0.3174910196186802,0.0824742268041237,0.11353711790393,0.2735923869944484,rise,0.1041666666666667,0.1615201900237529,0.3550857843137252,rise,True,0.016924173,0.5327075
Sema4c,rise,0.1428571428571428,0.1646153846153849,-2.1758241758242063,0.0053050397877984,0.0641547861507128,-5.884974636291449,3.7091504604672414,True,55,107,False,0.1321762349799748,0.1443298969072165,0.131004366812227,0.0153344039786562,fall,0.142361111111111,0.1828978622327791,0.2216360028860032,rise,False,0.0025020852,0.36319205
Tmem131,rise,0.1532467532467532,0.1569230769230772,-0.367632367632395,0.1671087533156499,0.119144602851324,4.796415046432588,-5.164047414064983,False,59,102,False,0.0234275528393193,0.0927835051546391,0.1528384279475982,0.3929307805596465,rise,0.1736111111111109,0.1591448931116389,0.0172041745134964,fall,False,0.0012368584,0.27643785
Coa5,rise,0.1454545454545454,0.1661538461538464,-2.069930069930101,0.1564986737400531,0.1945010183299383,-3.800234458988519,1.7303043890584178,True,56,108,False,0.1245791245791262,0.1649484536082474,0.1572052401746725,0.0091875434004593,fall,0.1388888888888888,0.171021377672209,0.187885802469136,rise,False,0.0019372893,0.35618713
Mitd1,rise,0.2961038961038961,0.3615384615384626,-6.543456543456644,0.4933687002652511,0.3869653767820783,10.640332348317278,-17.183788891773922,False,114,235,False,0.1809892235424173,0.2886597938144329,0.3144104803493453,0.081901489117985,rise,0.2986111111111105,0.387173396674585,0.2287406271302006,rise,True,0.025674744,0.32185116
Mrpl30,rise,0.5272727272727273,0.5323076923076928,-0.5034965034965477,0.5278514588859412,0.4857433808553996,4.2108078030541565,-4.714304306550704,False,203,346,False,0.0094587493431432,0.505154639175258,0.5109170305676863,0.0112785267424451,rise,0.5347222222222209,0.5439429928741105,0.0169517224648276,rise,True,0.0018777277,0.13408428
Eif5b,rise,0.5454545454545455,0.5999999999999983,-5.454545454545279,0.5517241379310345,0.5366598778004086,1.5064260130625895,-6.960971467607869,False,210,390,False,0.0909090909090882,0.5670103092783506,0.5545851528384288,0.0278956943602166,fall,0.5381944444444431,0.6247030878859873,0.1384796155471103,rise,False,0.008939113,0.18467225
Rpl31,rise,0.8519480519480521,0.8753846153846048,-2.343656343655265,0.8673740053050455,0.8584521384928605,0.8921866812184986,-3.2358430248737635,False,328,569,True,0.0267728756305086,0.8350515463917517,0.8471615720524033,0.0142948241045834,rise,0.8576388888888864,0.8907363420427578,0.0371574074074128,rise,True,0.002361275,0.13910173
Rnf149,rise,0.3038961038961039,0.3646153846153857,-6.071928071928173,0.2811671087533153,0.2953156822810585,-1.414857352774318,-4.657070719153856,False,117,237,False,0.166529672858789,0.2783505154639175,0.3362445414847165,0.1721783371267918,rise,0.3124999999999994,0.380047505938243,0.1777343750000031,rise,True,0.017022492,0.30965924
Mrps9,rise,0.1818181818181818,0.1984615384615389,-1.664335664335706,0.1936339522546418,0.198574338085539,-0.4940385830897204,-1.1702970812459856,False,70,129,False,0.0838618745595508,0.1752577319587628,0.2052401746724892,0.1460846676902835,rise,0.1840277777777776,0.1947743467933492,0.0551744579945813,rise,True,0.0018005329,0.30993223
Tgfbrap1,rise,0.0597402597402597,0.0599999999999999,-0.0259740259740216,0.0636604774535809,0.0651731160896131,-0.1512638636032195,0.1252898376291979,True,23,39,False,0.0043290043290036,0.0927835051546391,0.0524017467248908,0.0426148510618081,fall,0.0486111111111111,0.0641330166270784,0.2420267489711933,rise,False,0.0008516074,0.42350334
